Method,Model,Dataset,AvgTrainAcc,DevTrain,AvgTestAccAfter,DeviationAfter,HiddenDim,LR,Dropout,TrainNodes,TestNodes,ValNodes,GCNTime
Baseline,SimpleGCN,Citeseer,98.1613,2.4662,70.9000,1.1171,32,0.01,0.0,620.0,1000.0,500.0,3771.853285074234
Baseline,SimpleGCN,chameleon_filtered.npz,98.8000,0.8764,29.6552,0.6168,32,0.001,0.0,100.0,290.0,500.0,202.49294900894165
Baseline,GATv2,chameleon_filtered.npz,100.0000,0.0000,36.2069,1.2939,32,0.001,0.0,100.0,290.0,500.0,1517.5071167945862
Baseline,GATv2,texas.npz,98.4810,0.4529,47.4419,5.3194,128,0.001,0.0,79.0,86.0,18.0,624.6650459766388
Baseline,GATv2,texas.npz,98.4810,1.1093,45.1163,3.3151,32,0.001,0.0,79.0,86.0,18.0,213.54564809799194
Baseline,GATv2,texas.npz,95.6962,3.8294,49.5349,6.0142,32,0.001,0.0,79.0,86.0,18.0,139.45291805267334
Baseline,SimpleGCN,Cora,97.4619,0.0000,82.2000,0.0000,32,0.01,0.0,985.0,1000.0,500.0,66.19020080566406
