timestamp,dataset,node_idx,original_nodes,original_edges,avg_edges_removed,avg_edges_added,avg_edge_change_ratio,f_alignment,g_alignment,memorization_score,f_test_acc,g_test_acc
2025-01-13 21:39:25,Cora,"tensor(1974, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08396725356578827,0.08284232765436172,"tensor(-1., device='cuda:0')",0.747,0.743
2025-01-13 21:39:27,Cora,"tensor(185, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08530255407094955,0.08202044665813446,"tensor(-1., device='cuda:0')",0.749,0.732
2025-01-13 21:39:28,Cora,"tensor(2005, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0837273970246315,0.0802428349852562,"tensor(-1., device='cuda:0')",0.749,0.73
2025-01-13 21:39:30,Cora,"tensor(1274, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08393081277608871,0.08358724415302277,"tensor(-1., device='cuda:0')",0.748,0.729
2025-01-13 21:39:32,Cora,"tensor(1680, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08378797769546509,0.08037830889225006,"tensor(-1., device='cuda:0')",0.746,0.732
2025-01-13 21:39:33,Cora,"tensor(1785, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08490277081727982,0.08284762501716614,"tensor(-1., device='cuda:0')",0.751,0.726
2025-01-13 21:39:35,Cora,"tensor(807, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0881129652261734,0.08624231815338135,"tensor(-1., device='cuda:0')",0.749,0.736
2025-01-13 21:39:36,Cora,"tensor(1003, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08845296502113342,0.08522899448871613,"tensor(-1., device='cuda:0')",0.75,0.731
2025-01-13 21:39:38,Cora,"tensor(1101, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08692335337400436,0.08372684568166733,"tensor(-1., device='cuda:0')",0.749,0.733
2025-01-13 21:39:39,Cora,"tensor(2232, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08502750843763351,0.08270060271024704,"tensor(-1., device='cuda:0')",0.751,0.731
2025-01-13 21:39:41,Cora,"tensor(1715, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08605871349573135,0.08188067376613617,"tensor(-1., device='cuda:0')",0.744,0.733
2025-01-13 21:39:43,Cora,"tensor(75, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0877075120806694,0.0856604129076004,"tensor(-1., device='cuda:0')",0.745,0.732
2025-01-13 21:39:44,Cora,"tensor(937, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08551311492919922,0.08403490483760834,"tensor(-1., device='cuda:0')",0.754,0.732
2025-01-13 21:39:46,Cora,"tensor(2080, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08688384294509888,0.08292004466056824,"tensor(-1., device='cuda:0')",0.753,0.733
2025-01-13 21:39:47,Cora,"tensor(211, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0855424553155899,0.08218508958816528,"tensor(-1., device='cuda:0')",0.746,0.73
2025-01-13 21:39:49,Cora,"tensor(2101, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08679239451885223,0.08095262199640274,"tensor(-1., device='cuda:0')",0.748,0.728
2025-01-13 21:39:50,Cora,"tensor(69, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08468913286924362,0.08498768508434296,"tensor(1., device='cuda:0')",0.753,0.732
2025-01-13 21:39:52,Cora,"tensor(481, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08433544635772705,0.08389943838119507,"tensor(-1., device='cuda:0')",0.746,0.73
2025-01-13 21:39:54,Cora,"tensor(257, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08486422151327133,0.08139833062887192,"tensor(-1.0000, device='cuda:0')",0.749,0.735
2025-01-13 21:39:55,Cora,"tensor(698, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08738092333078384,0.08308319002389908,"tensor(-1., device='cuda:0')",0.745,0.731
2025-01-13 21:39:57,Cora,"tensor(1109, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08554810285568237,0.08352365344762802,"tensor(-1., device='cuda:0')",0.756,0.73
2025-01-13 21:39:58,Cora,"tensor(1616, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08708544075489044,0.08355974406003952,"tensor(-1., device='cuda:0')",0.751,0.731
2025-01-13 21:40:00,Cora,"tensor(1824, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08764772862195969,0.0807105228304863,"tensor(-1., device='cuda:0')",0.748,0.731
2025-01-13 21:40:02,Cora,"tensor(1231, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08506754785776138,0.08224781602621078,"tensor(-1., device='cuda:0')",0.749,0.732
2025-01-13 21:40:03,Cora,"tensor(530, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08404131978750229,0.08138348162174225,"tensor(-1., device='cuda:0')",0.746,0.735
2025-01-13 21:40:05,Cora,"tensor(1831, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08625957369804382,0.0832846537232399,"tensor(-1., device='cuda:0')",0.75,0.731
2025-01-13 21:40:06,Cora,"tensor(1744, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08848889917135239,0.08397819846868515,"tensor(-1., device='cuda:0')",0.751,0.736
2025-01-13 21:40:08,Cora,"tensor(423, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0831139013171196,0.08400630950927734,"tensor(1., device='cuda:0')",0.743,0.733
2025-01-13 21:40:10,Cora,"tensor(1587, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0852401852607727,0.08260553330183029,"tensor(-1.0000, device='cuda:0')",0.748,0.734
2025-01-13 21:40:11,Cora,"tensor(2299, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08354973047971725,0.08058734238147736,"tensor(-1., device='cuda:0')",0.745,0.729
2025-01-13 21:40:13,Cora,"tensor(1716, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08469261974096298,0.08261918276548386,"tensor(-1., device='cuda:0')",0.755,0.73
2025-01-13 21:40:14,Cora,"tensor(2194, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08558458834886551,0.08562641590833664,"tensor(1., device='cuda:0')",0.751,0.733
2025-01-13 21:40:16,Cora,"tensor(245, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0847177729010582,0.08031022548675537,"tensor(-1., device='cuda:0')",0.75,0.735
2025-01-13 21:40:17,Cora,"tensor(1513, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08578692376613617,0.0820527896285057,"tensor(-1., device='cuda:0')",0.747,0.733
2025-01-13 21:40:19,Cora,"tensor(47, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08635642379522324,0.08098095655441284,"tensor(-1.0000, device='cuda:0')",0.748,0.733
2025-01-13 21:40:21,Cora,"tensor(610, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08882620185613632,0.08468997478485107,"tensor(-1., device='cuda:0')",0.756,0.736
2025-01-13 21:40:22,Cora,"tensor(1452, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08390885591506958,0.08318439871072769,"tensor(-1., device='cuda:0')",0.752,0.731
2025-01-13 21:40:24,Cora,"tensor(963, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08601154386997223,0.08390393108129501,"tensor(-1., device='cuda:0')",0.745,0.728
2025-01-13 21:40:25,Cora,"tensor(1193, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08533501625061035,0.0827079489827156,"tensor(-1., device='cuda:0')",0.752,0.741
2025-01-13 21:40:27,Cora,"tensor(512, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08592784404754639,0.08362060785293579,"tensor(-1., device='cuda:0')",0.751,0.73
2025-01-13 21:40:28,Cora,"tensor(1994, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0843706876039505,0.08475205302238464,"tensor(1., device='cuda:0')",0.749,0.732
2025-01-13 21:40:30,Cora,"tensor(1950, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0872689038515091,0.08539453893899918,"tensor(-1., device='cuda:0')",0.748,0.727
2025-01-13 21:40:32,Cora,"tensor(679, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.0890965387225151,0.08511410653591156,"tensor(-1., device='cuda:0')",0.752,0.735
2025-01-13 21:40:33,Cora,"tensor(2002, device='cuda:0')",2485,10138,0.0,1013.0,0.09992108897218387,0.08959547430276871,0.08521583676338196,"tensor(-1., device='cuda:0')",0.746,0.737
